#	mem_id mem_id+ com_id	mem_date	mem_date+	com_date	mem_value	mem_value+	com_value	mem_rowid	mem_rowid+	com_rowid	mem_total	mem_total+	com_total
1	5	0	3.7	206	0	149.0	31	0	22.5	73	0	26.8	316	0	45.8
10	172	0	12.6	822	0	60	300	0	21.9	856	0	31.3	2151	0	31.4
100	2995	0	21.9	6981	0	51.0	2995	0	21.9	9839	0	35.9	22812	0	33.3
1000	42778	0	31.3	68575	0	50.1	29942	0	21.9	115500	0	42.2	256796	0	37.5
10000	598868	0	43.8	684512	0	50.0	299415	0	21.9	1321817	0	48.3	2904613	0	42.4
